Date,Start,Visitor,PTS,Home,PTS,OverTime,Winner,Date
18/12/21,7:30p,6,114,16,107,,6,67
18/12/21,8:00p,2,120,18,107,,2,67
18/12/21,8:00p,22,80,13,90,,13,67
18/12/21,8:30p,9,98,25,124,,25,67
18/12/21,10:00p,10,120,29,90,,10,67
18/12/21,10:00p,4,99,17,102,,17,67
18/12/21,10:30p,8,104,14,112,,14,67
18/12/22,5:00p,11,111,28,132,,28,68
18/12/22,7:00p,24,146,27,149,3OT,27,68
18/12/22,7:30p,21,101,0,126,,0,68
18/12/22,8:00p,25,101,26,108,,26,68
18/12/22,8:00p,2,87,5,94,,5,68
18/12/22,8:30p,12,116,20,120,,20,68
18/12/22,9:00p,1,107,10,106,,1,68
18/12/23,4:00p,6,98,23,95,,6,69
18/12/23,5:00p,27,89,19,105,,19,69
18/12/23,6:00p,15,103,18,119,,18,69
18/12/23,6:00p,24,103,3,111,,3,69
18/12/23,6:00p,13,112,7,92,,13,69
18/12/23,6:00p,5,115,22,91,,5,69
18/12/23,6:00p,8,117,17,122,,17,69
18/12/23,8:00p,9,114,1,112,,9,69
18/12/23,8:30p,28,127,20,129,,20,69
18/12/23,9:00p,12,118,29,121,OT,29,69
18/12/23,9:30p,4,107,14,99,,4,69
18/12/25,12:00p,2,109,16,95,,2,71
18/12/25,3:00p,1,109,26,113,,26,71
18/12/25,5:30p,0,114,18,121,OT,18,71
18/12/25,8:00p,14,127,20,101,,14,71
18/12/25,10:30p,29,96,10,117,,10,71
18/12/26,7:00p,27,95,23,106,,23,72
18/12/26,7:00p,24,122,22,120,OT,24,72
18/12/26,7:30p,19,129,6,121,,19,72
18/12/26,7:30p,15,132,3,134,2OT,3,72
18/12/26,7:30p,21,106,5,104,,21,72
18/12/26,8:00p,9,119,13,94,,9,72
18/12/26,8:00p,7,87,4,95,,4,72
18/12/26,8:30p,8,119,12,122,,12,72
18/12/26,8:30p,11,103,25,111,,25,72
18/12/26,10:30p,17,118,28,127,,28,72
18/12/27,8:00p,18,113,26,127,,26,73
18/12/27,8:00p,16,96,2,112,,2,73
18/12/27,10:00p,14,116,17,117,,17,73
18/12/27,10:30p,29,110,20,109,OT,29,73
18/12/27,10:30p,0,114,10,97,,0,73
18/12/28,7:00p,3,87,15,100,,15,74
18/12/28,7:00p,23,88,19,125,,19,74
18/12/28,7:00p,21,87,22,116,,22,74
18/12/28,7:00p,13,101,27,92,,13,74
18/12/28,8:00p,7,94,5,118,,5,74
18/12/28,8:00p,6,123,9,120,OT,6,74
18/12/28,8:00p,12,112,8,114,,8,74
18/12/28,9:00p,25,99,11,102,,11,74
18/12/28,9:00p,1,118,24,102,,1,74
18/12/28,10:30p,28,118,14,107,,28,74
18/12/29,5:00p,3,115,2,129,,2,75
18/12/29,7:00p,26,108,8,104,,26,75
18/12/29,7:00p,15,126,27,130,,27,75
18/12/29,7:30p,7,108,6,111,,6,75
18/12/29,8:00p,18,112,4,103,,18,75
18/12/29,8:00p,16,97,10,129,,10,75
18/12/29,9:00p,11,122,24,118,,11,75
18/12/29,10:00p,20,115,29,105,,20,75
